lat,lng,State,country,city_ascii
-26.02,-54.7699,,Paraguay,Nacunday
-26.0095,22.4,,Botswana,Tshabong
-25.9696,32.46,,Mozambique,Matola
-25.961,31.247,,Swaziland,Piggs Peak
-25.9553,32.5892,,Mozambique,Maputo
-25.9495,-60.6166,,Argentina,Castelli
-25.8996,139.3666,,Australia,Birdsville
-25.8652,25.6442,,South Africa,Mahikeng
-25.83,25.61,,South Africa,Mmabatho
-25.7996,-62.8666,,Argentina,Monte Quemado
-25.76,-49.73,,Brazil,Lapa
-25.7596,29.47,,South Africa,Middelburg
-25.75,-56.4333,,Paraguay,Villarrica
-25.7069,28.2294,,South Africa,Pretoria
-25.65,27.24,,South Africa,Rustenburg
-25.6296,27.78,,South Africa,Brits
-25.62,-57.16,,Paraguay,Paraguari
-25.57,-49.18,,Brazil,Sao Jose dos Pinhais
